source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
blood_serum_H2W	NT=Equus caballus;AC=NCBITaxon:9796	NT=blood serum;AC=UBERON:0001977	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H2W	tissue	1	run_66	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_087.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood serum;AC=UBERON:0001977
blood_serum_H3W	NT=Equus caballus;AC=NCBITaxon:9796	NT=blood serum;AC=UBERON:0001977	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3W	tissue	2	run_67	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_088.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood serum;AC=UBERON:0001977
blood_serum_H4W	NT=Equus caballus;AC=NCBITaxon:9796	NT=blood serum;AC=UBERON:0001977	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H4W	tissue	3	run_68	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_115.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=blood serum;AC=UBERON:0001977
peritoneal_fluid_H2W	NT=Equus caballus;AC=NCBITaxon:9796	NT=peritoneal fluid;AC=UBERON:0001268	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H2W	tissue	1	run_69	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_097.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=peritoneal fluid;AC=UBERON:0001268
peritoneal_fluid_H2W	NT=Equus caballus;AC=NCBITaxon:9796	NT=peritoneal fluid;AC=UBERON:0001268	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H2W	tissue	1	run_70	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	2	Emma_M1810_100.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=peritoneal fluid;AC=UBERON:0001268
peritoneal_fluid_H3W	NT=Equus caballus;AC=NCBITaxon:9796	NT=peritoneal fluid;AC=UBERON:0001268	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3W	tissue	2	run_71	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_098.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=peritoneal fluid;AC=UBERON:0001268
bone_tissue_H3OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=bone tissue;AC=UBERON:0002481	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H3OA	tissue	1	run_72	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_103.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=bone tissue;AC=UBERON:0002481
bone_tissue_H4OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=bone tissue;AC=UBERON:0002481	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H4OA	tissue	2	run_73	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_105.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=bone tissue;AC=UBERON:0002481
bone_tissue_H5OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=bone tissue;AC=UBERON:0002481	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H5OA	tissue	3	run_74	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_106.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=bone tissue;AC=UBERON:0002481
bone_tissue_H9OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=bone tissue;AC=UBERON:0002481	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H9OA	tissue	4	run_75	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1910_215.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=bone tissue;AC=UBERON:0002481
